 countyName, cityName, HotelCode, HotelName, HotelRating
Italy,San Lorenzo al Mare,1360997,Hotel Riviera dei Fiori,4
Austria,Zillertal,1158375,Sport und Wellnesshotel Held,4
Italy,Mazara del Vallo,1500047,Sud 12 Ville sul Mediterraneo,1
United Kingdom,Leith,5330986,Home By Leiths Shore,3
Brazil,Bombinhas,5681939,Cobertura Costa Do Sol,5
Italy,Senigallia,1372370,Hotel Le Querce,3
Canada,Vancouver    British Columbia,1214567,The Burrard,3
Sri Lanka,Dambulla,1626908,Lakmini Lodge,1
Israel,Tel Aviv,1415534,Momos Hostel,2
Italy,Brescia,1572150,Albergo Ristorante Gaba Hotel,3
Panama,Boquete,1675050,Bambuda Castle,5
Italy,San Giuseppe Comacchio,6104551,Appartamento Aurelia,5
Spain,Castello D'Empuries,5894688,Basic Comfort Apartaments Pattaya,5
United Kingdom,Ambleside,1792948,High Wray Farm,4
Cambodia,Koh Kong,1656356,Kampot View Boutique Hotel,4
United States,Oakland    Maryland,5235668,Boxer Overlook Five Bedroom Holiday Home,3
United Kingdom,Saltburn-by-the-Sea,5482124,Broomhill View,3
Italy,Rio Marina,1407862,Hotel Maristella,3
Spain,Campanet,1462187,Villa Coco de Fangar,3
France,Saint-Thibéry,5475069,Studio Rue De La Campagne DaudÉ,5
United States,Lahaina    Hawaii,5330453,Kahana Sunset B3B Condo,3
Poland,Tuchola,1116784,Bory Pensjonat,5
Australia,Tweed Heads    New South Wales,5141908,Kingscliff Coast Culture 1208,3
United Kingdom,Cornwall,6045958,9 The Whitehouse,4
Australia,Melbourne    Victoria,5403175,Espresso Apartments Spacious Bayside Lifestyle,3
Chile,Punta Arenas,1255352,Isla Rey Jorge,4
South Africa,Pennington,1554828,Marais Manor,4
Italy,Carloforte,5013661,Piana Apartment,5
India,Kochi,6181775,OYO 15459 Home Exotic 2BHK Vyttila,2
Australia,Surfers Paradise    Queensland,1225229,Mantra Towers of Chevron,4
Italy,Portovenere,1234657,Relais Del Golfo,5
United Kingdom,London,5377256,A Beautiful Modern Apartment,3
Germany,Hamburg,1170255,Hotel Hafen Hamburg,4
Italy,Torre del Orso,5614994,Appartamento con piscina 23,5
Russian Federation,Tula,1404945,Profit Hotel,3
Spain,Sant Feliu,5222978,Casa Tarradelles,3
India,Gangtok    Sikkim,1135579,Hotel Tashi Thendup,2
Puerto Rico,Puerto Rico,5569106,Jardin Del Mar Guesthouse,5
Germany,St. Wendel,5791619,Ferienwohnung Steffen,5
United Kingdom,Auchterader,1685740,Gleneagles Village Apartments,4
Austria,Neudörfl,1294077,Martinihof,3
Spain,Maspalomas,5644183,Salobre Vista Golf 1,5
United Kingdom,Banbury,1791384,Mine Hill House,5
Greece,Gialos,6064329,Anny's Homes,5
United Kingdom,Prestbury,1568123,The White House Manor,4
Austria,Flachau,1053965,Waidmannsheil,4
United Kingdom,Saxmundham,5444528,Daisy Cottage Saxmundham,4
Italy,Oristano,1896092,La Terrazza Sul Parco,5
Russia,Otradnoje,1805090,Postoyaliy Dvor Yam,3
Slovenia,Cerklje na Gorenjskem,6086620,Turizem Pavlin Apartments,5
Brazil,São Bento do Sapucaí,1658638,Pousada Villa São Bento,2
Morocco,Fes,1474869,Riad Mimosa,4
South Africa,Pietermaritzburg,1063765,The Sleeping Bao B&B,3
Croatia,Fazana,5451704,Apartments Ivanka 934,3
Germany,Varel,1213286,Hotel Graf Bentinck,4
United Kingdom,London,1183167,Premier Inn London Hammersmith,3
United States,New York    New York,1509542,The Penthouse Organic & Modern in Times Square,3
Germany,Riedenburg,1009594,Ferienwohnung Baldauf,5
South Africa,Bloubergstrand,5988816,Blouberg Heights 1608,5
Germany,Panschwitz-Kuckau,1365584,Zur Linde,5
Kenya,Lamu Island,1781467,Andavelo House,5
Germany,Wyk Auf Foehr,1571513,Spiekerhof,5
United Kingdom,Cornwall,5179714,St Tudy Inn,5
Australia,Perth    Western Australia,5195986,City Gardens,3
United States,Goldsboro    North Carolina,5015803,Tru by Hilton Smithfield I-95,2
United Kingdom,Sherborne,5383484,Abbey Court,3
Australia,Coonabarabran    New South Wales,1784132,Langley Cottage B&B,5
Russia,Melnikovo,5270949,White Goat Farm,5
Brazil,Buzios,1490001,VOA Viva Geribá,2
Spain,Lanzarote,6105129,Casa Salinas del Mar,3
Portugal,Vila do Bispo,5381643,Casa Cama Da Vaca,4
United States,Clearlake    California,1277461,Travelodge Clearlake,2
United States,Cleveland    Ohio,1247182,Comfort Inn Mayfield Heights Cleveland East,2
United States,Charleston    South Carolina,5852497,71 Grand Pavilion,5
Greece,Rhodes Town,1621026,Archontiko Pataka,5
Italy,Modica,1382000,Residence Casa Del Mar,5
France,Montiéramey,1374989,Hotel Relais Paris Bale Restaurant La Mangeoire,3
Greece,Elliniko,1389540,Hotel Ikaros,2
United States,Davenport    Iowa,1381182,Holiday Inn Express & Suites Davenport North,2
China,Suqian,1700710,GreenTree Inn Jiangsu Suqian Suyu District Education Bureau Express Hotel,2
Cambodia,Siem Reap,1844937,Romance Residence,3
United States,Asheville    North Carolina,1684808,Firefly Manor 5 Br Home,3
Italy,Borgomanero,1407660,Hotel Rinaldo,3
United States,Atlanta    Georgia,1919366,Hampton Inn & Suites Atlanta Decatur Emory,3
